id,sex,cage,time.of.day,n.correct.training,n.incorrect.training,session.reward.colour,n.morning.colour.test,n.afternoon.colour.test,final.presentation,n.correct.training.last.2,n.incorrect.training.last.2,prop.correct.training.last.2,n.morning.colour.initial,n.afternoon.colour.initial,species,criterion,n.morning.colour.training,n.afternoon.colour.training,prop.morning.reward.colour,shift.in.prop.morning.colour,abs.shift.in.prop.morning.colour,colour.training.scheme
DR,M,5A,1morning,50,3,yellow,88,12,reversed,28,1,0.965517241,2,3,dryas,passed,50,3,0.943396226,0.203136486,0.203136486,yellow.morning.purple.afternoon
DX,F,5A,1morning,0,0,yellow,0,0,reversed,0,0,0,2,3,dryas,NA,0,0,NA,NA,NA,yellow.morning.purple.afternoon
H13,M,3B,1morning,72,11,yellow,90,0,reversed,11,1,0.916666667,2,4,hecale,NA,72,11,0.86746988,-0.13253012,0.13253012,yellow.morning.purple.afternoon
H14,F,3B,1morning,18,6,yellow,130,2,reversed,1,1,0.5,14,11,hecale,NA,18,6,0.75,NA,NA,yellow.morning.purple.afternoon
H15,F,3B,1morning,24,7,yellow,42,21,reversed,6,2,0.75,4,9,hecale,passed,24,7,0.774193548,0.009487666,0.009487666,yellow.morning.purple.afternoon
H16,M,3B,1morning,57,10,yellow,91,22,reversed,13,0,1,72,48,hecale,NA,57,10,0.850746269,-0.149253731,0.149253731,yellow.morning.purple.afternoon
H17,M,3B,1morning,35,3,yellow,148,4,reversed,8,0,1,1,2,hecale,failed,35,3,0.921052632,0.181922197,0.181922197,yellow.morning.purple.afternoon
H18,F,3B,1morning,21,6,yellow,61,15,reversed,3,0,1,1,8,hecale,NA,21,6,0.777777778,-0.222222222,0.222222222,yellow.morning.purple.afternoon
H21,F,3B,1morning,47,27,yellow,152,40,reversed,15,4,0.789473684,17,6,hecale,failed,47,27,0.635135135,-0.158982512,0.158982512,yellow.morning.purple.afternoon
H22,M,3B,1morning,130,72,yellow,47,47,reversed,17,8,0.68,0,17,hecale,passed,130,72,0.643564356,0.38181939,0.38181939,yellow.morning.purple.afternoon
H23,M,3B,1morning,128,43,yellow,53,24,reversed,30,11,0.731707317,2,7,hecale,passed,128,43,0.748538012,0.442567862,0.442567862,yellow.morning.purple.afternoon
H24,F,3B,1morning,27,27,yellow,33,35,reversed,15,4,0.789473684,5,4,hecale,passed,27,27,0.5,-0.26,0.26,yellow.morning.purple.afternoon
H25,M,3B,1morning,74,22,yellow,19,8,reversed,9,3,0.75,0,12,hecale,passed,74,22,0.770833333,0.610833333,0.610833333,yellow.morning.purple.afternoon
H26,M,3B,1morning,78,29,yellow,28,30,reversed,20,4,0.833333333,0,1,hecale,failed,78,29,0.728971963,0.092608326,0.092608326,yellow.morning.purple.afternoon
H29,F,3B,1morning,59,5,yellow,114,1,reversed,9,1,0.9,3,1,hecale,failed,59,5,0.921875,-0.015625,0.015625,yellow.morning.purple.afternoon
M1,M,2B,1morning,77,19,yellow,38,10,normal,30,2,0.9375,7,40,melpomene,passed,77,19,0.802083333,0.413194444,0.413194444,yellow.morning.purple.afternoon
M10,F,2B,1morning,45,18,yellow,73,1,normal,20,1,0.952380952,3,24,melpomene,NA,45,18,0.714285714,-0.244047619,0.244047619,yellow.morning.purple.afternoon
M11,M,2B,1morning,62,4,yellow,69,24,normal,29,0,1,0,0,melpomene,failed,62,4,0.939393939,0.195804196,0.195804196,yellow.morning.purple.afternoon
M3,M,2B,1morning,39,24,yellow,4,3,normal,18,12,0.6,1,35,melpomene,passed,39,24,0.619047619,0.207282913,0.207282913,yellow.morning.purple.afternoon
M4,F,2B,1morning,37,13,yellow,14,0,normal,13,0,1,7,1,melpomene,failed,37,13,0.74,0.210588235,0.210588235,yellow.morning.purple.afternoon
M5,F,2B,1morning,18,0,yellow,6,0,normal,7,0,1,5,3,melpomene,NA,18,0,1,0,0,yellow.morning.purple.afternoon
M6,M,2B,1morning,77,33,yellow,83,7,normal,33,2,0.942857143,26,32,melpomene,passed,77,33,0.7,0.275,0.275,yellow.morning.purple.afternoon
M7,M,2B,1morning,218,1,yellow,157,0,normal,112,1,0.991150442,19,1,melpomene,failed,218,1,0.99543379,0.009926544,0.009926544,yellow.morning.purple.afternoon
M8,F,2B,1morning,25,1,yellow,16,0,normal,8,0,1,5,12,melpomene,failed,25,1,0.961538462,-0.038461538,0.038461538,yellow.morning.purple.afternoon
M9,F,2B,1morning,16,8,yellow,2,0,normal,4,2,0.666666667,1,0,melpomene,NA,16,8,0.666666667,0.140350877,0.140350877,yellow.morning.purple.afternoon
T10,M,1A,1morning,46,41,yellow,43,70,normal,12,5,0.705882353,1,12,hecale,passed,46,41,0.528735632,0.20086678,0.20086678,yellow.morning.purple.afternoon
T11,M,1A,1morning,118,38,yellow,33,27,normal,37,4,0.902439024,11,15,hecale,passed,118,38,0.756410256,0.28974359,0.28974359,yellow.morning.purple.afternoon
T12,M,1A,1morning,53,30,yellow,63,34,normal,15,13,0.535714286,3,0,hecale,passed,53,30,0.638554217,0.57188755,0.57188755,yellow.morning.purple.afternoon
